ID	DOCULECT	SUBGROUP	CONCEPT	VALUE	IPA	TOKENS	COGIDS	MORPHEMES	STRUCTURE	NOTE	CHARACTERS	CHARACTER_IS
2782	Ha_erbin		fight	ta²¹³⁻²¹ tɕia⁵³	ta²¹³+tɕja⁵³	t a ²¹³ + tɕ j a ⁵³	115 563	_beat:V/打 fight:N/架	i n t + i m n t		打 架	
2783	Ha_erbin		fight	ta²¹³⁻²¹ tʂaŋ⁵³	ta²¹³+ʈʂaŋ⁵³	t a ²¹³ + ʈʂ a ŋ ⁵³	115 564	_beat:V/打 fight/仗	i n t + i n c t		打 仗	
2784	Ha_erbin		fight	kan⁵³ tʂaŋ⁵³	kan⁵³+ʈʂaŋ⁵³	k a n ⁵³ + ʈʂ a ŋ ⁵³	795 564	_make/干 fight/仗	i n c t + i n c t		干 仗	
2785	Jinan		fight	ta⁴⁵ tɕia²¹	ta⁴⁵+tɕja²¹	t a ⁴⁵ + tɕ j a ²¹	115 563	_beat:V/打 fight:N/架	i n t + i m n t		打 架	
2786	Rongcheng		fight	ta²¹⁴⁻² tʂaŋ³³⁴	ta²¹⁴+ʈʂaŋ³³⁴	t a ²¹⁴ + ʈʂ a ŋ ³³⁴	115 564	_beat:V/打 fight/仗	i n t + i n c t		打 仗	
2787	Taiyuan		fight	ta⁵³ tɕia⁴⁵	ta⁵³+tɕja⁴⁵	t a ⁵³ + tɕ j a ⁴⁵	115 563	_beat:V/打 fight:N/架	i n t + i m n t		打 架	
2788	Xi_an		fight	tɑ⁵³ pfʰei²⁴	tɑ⁵³+pfʰei²⁴	t ɑ ⁵³ + pfʰ ei ²⁴	115 566	_beat:V/打 fight:N/捶	i n t + i n t		打 捶	
2789	Chengdu		fight	ta⁵³⁻⁵⁵ tɕia²¹³	ta⁵³+tɕja²¹³	t a ⁵³ + tɕ j a ²¹³	115 563	_beat:V/打 fight:N/架	i n t + i m n t		打 架	
2790	Chengdu		fight	ta⁵³⁻⁵⁵ tsʰuei²¹	ta⁵³+tsʰwei²¹	t a ⁵³ + tsʰ w ei ²¹	115 567	_beat:V/打 fight:N/錘	i n t + i m n t		打 錘	
2791	Chengdu		fight	ko²¹⁻⁵⁵ ȵie²¹	ko²¹+ɲje²¹	k o ²¹ + ɲ j e ²¹	568 569	horn/角 fight/逆	i n t + i m n t		角 逆	
2792	Nanjing		fight	tɑ¹¹⁻²² tɕiɑ⁴⁴⁻²²	tɑ¹¹+tɕjɑ⁴⁴	t ɑ ¹¹ + tɕ j ɑ ⁴⁴	115 563	_beat:V/打 fight:N/架	i n t + i m n t		打 架	
2793	Jixi		fight	tɔ²¹³⁻³¹ ko³⁵	tɔ²¹³+ko³⁵	t ɔ ²¹³ + k o ³⁵	115 563	_beat:V/打 fight:N/架	i n t + i n t		打 架	
2794	Suzhou		fight	tã⁵² siã⁴⁴⁻³¹ tã⁵²⁻³¹	tã⁵²+sjã⁴⁴+tã⁵²	t ã ⁵² + s j ã ⁴⁴ + t ã ⁵²	115 288 115	_beat:V/打 fight:N/相 _beat:V/打	i n t + i m n t + i n t		打 相 打	
2795	Wenzhou		fight	tiə²⁴²⁻²⁴ tsʰɿ⁰	tjə²⁴²+tsʰɿ⁰	t j ə ²⁴² + tsʰ ɿ ⁰	115 245	beat:V/打 _raise:SUF/起	i m n t + i n t		打 起	
2796	Wenzhou		fight	tøy²⁴²⁻⁵³ tiɛ²⁴²⁻²²	tøy²⁴²+tjɛ²⁴²	t øy ²⁴² + t j ɛ ²⁴²	570 115	fight/賭 _beat:V/打	i n t + i m n t		賭 打	
