ID	DOCULECT	SUBGROUP	CONCEPT	VALUE	IPA	TOKENS	COGIDS	MORPHEMES	STRUCTURE	NOTE	CHARACTERS	CHARACTER_IS
672	Chengdu		snake	se²¹	se²¹	s e ²¹	148	snake/蛇	i n t		蛇	
673	Chengdu		snake	so⁴⁵ lau⁵³⁻⁵⁵ ər²¹³⁻²¹	so⁴⁵+lau⁵³+ə²¹³	s o ⁴⁵ + l au ⁵³ + ə ²¹³	151 27 258	crawl/梭 old/老 _:SUF/?	i n t + i n t + n t		梭 老 ?	
674	Nanjing		snake	ʂə¹³	ʂə¹³	ʂ ə ¹³	148	snake/蛇	i n t		蛇	
675	Jixi		snake	so⁴⁴	so⁴⁴	s o ⁴⁴	148	snake/蛇	i n t		蛇	
676	Suzhou		snake	zo¹³	zo¹³	z o ¹³	148	snake/蛇	i n t		蛇	
677	Wenzhou		snake	zei³⁴¹	zei³⁴¹	z ei ³⁴¹	148	snake/蛇	i n t		蛇	
678	Changsha		snake	sə¹³	sə¹³	s ə ¹³	148	snake/蛇	i n t		蛇	
679	Loudi		snake	tɕʰiɔ¹³	tɕʰjɔ¹³	tɕʰ j ɔ ¹³	148	snake/蛇	i m n t		蛇	
680	Nanchang		snake	sa⁴⁵	sa⁴⁵	s a ⁴⁵	148	snake/蛇	i n t		蛇	
681	Meixian		snake	sa¹¹ ko³³	sa¹¹+ko³³	s a ¹¹ + k o ³³	148 152	snake/蛇 _snake	i n t + i n t		蛇 哥	
682	Guilin		snake	sᴀ²²	sa̠²²	s a̠ ²²	148	snake/蛇	i n t		蛇	
683	Guangzhou		snake	sɛ²¹	sɛ²¹	s ɛ ²¹	148	snake/蛇	i n t		蛇	
684	Fuzhou		snake	lau³²⁻²¹ lie⁵³	lau³²+lje⁵³	l au ³² + l j e ⁵³	27 148	_old/老 snake/蛇	i n t + i m n t		老 蛇	
685	Xiamen		snake	tsua²⁴	tswa²⁴	ts w a ²⁴	148	snake/蛇	i m n t		蛇	
686	Beijing		rope	ʂəŋ³⁵	ʂəŋ³⁵	ʂ ə ŋ ³⁵	153	rope/繩	i n c t		繩	
687	Ha_erbin		rope	ʂəŋ²⁴ tsɿ⁰	ʂəŋ²⁴+tsɿ⁰	ʂ ə ŋ ²⁴ + ts ɿ ⁰	153 19	rope/繩 _-child:SUF/子	i n c t + i n t		繩 子	
688	Jinan		rope	ʂəŋ⁵³⁻⁴⁵ tsɿ⁰	ʂəŋ⁵³+tsɿ⁰	ʂ ə ŋ ⁵³ + ts ɿ ⁰	153 19	rope/繩 _-child:SUF/子	i n c t + i n t		繩 子	
689	Rongcheng		rope	ʂəŋ³⁵ tsɿ⁰	ʂəŋ³⁵+tsɿ⁰	ʂ ə ŋ ³⁵ + ts ɿ ⁰	153 19	rope/繩 _-child:SUF/子	i n c t + i n t		繩 子	
690	Taiyuan		rope	səŋ²¹	səŋ²¹	s ə ŋ ²¹	153	rope/繩	i n c t		繩	
691	Taiyuan		rope	səŋ²¹ tsəʔ⁰	səŋ²¹+tsəʔ⁰	s ə ŋ ²¹ + ts ə ʔ ⁰	153 19	rope/繩 _-child:SUF/子	i n c t + i n c t		繩 子	
692	Xi_an		rope	ʂəŋ²⁴	ʂəŋ²⁴	ʂ ə ŋ ²⁴	153	rope/繩	i n c t		繩	
693	Chengdu		rope	suən²¹⁻⁵⁵ tsɿ⁵³	swən²¹+tsɿ⁵³	s w ə n ²¹ + ts ɿ ⁵³	153 19	rope/繩 _-child:SUF/子	i m n c t + i n t		繩 子	
694	Chengdu		rope	suən²¹⁻⁵⁵ sər²¹	swən²¹+sə²¹	s w ə n ²¹ + s ə ²¹	153 154	rope/繩 rope/索	i m n c t + i n t		繩 索	
695	Chengdu		rope	so²¹⁻⁵⁵ sər²¹	so²¹+sə²¹	s o ²¹ + s ə ²¹	154 35	rope/索 _rope/索	i n t + i n t		索 索	
696	Chengdu		rope	so²¹⁻⁵⁵ tsɿ²¹	so²¹+tsɿ²¹	s o ²¹ + ts ɿ ²¹	154 19	rope/索 _-child:SUF/子	i n t + i n t		索 子	
697	Nanjing		rope	sən¹³⁻¹¹ tsɿ⁰	sən¹³+tsɿ⁰	s ə n ¹³ + ts ɿ ⁰	153 19	rope/繩 _-child:SUF/子	i n c t + i n t		繩 子	
698	Jixi		rope	ɕiɑ̃⁴⁴	ɕjɑ̃⁴⁴	ɕ j ɑ̃ ⁴⁴	153	rope/繩	i m n t		繩	
699	Suzhou		rope	zən¹³	zən¹³	z ə n ¹³	153	rope/繩	i n c t		繩	
700	Wenzhou		rope	zeŋ³⁴¹	zeŋ³⁴¹	z e ŋ ³⁴¹	153	rope/繩	i n c t		繩	
701	Changsha		rope	sən¹³ tsɿ⁰	sən¹³+tsɿ⁰	s ə n ¹³ + ts ɿ ⁰	153 19	rope/繩 _-child:SUF/子	i n c t + i n t		繩 子	
702	Changsha		rope	so²⁴ tsɿ⁰	so²⁴+tsɿ⁰	s o ²⁴ + ts ɿ ⁰	154 19	rope/索 _-child:SUF/子	i n t + i n t		索 子	
703	Loudi		rope	ʑin¹³ tsɿ⁰	ʑin¹³+tsɿ⁰	ʑ i n ¹³ + ts ɿ ⁰	153 19	rope/繩 _-child:SUF/子	i n c t + i n t		繩 子	
704	Nanchang		rope	sɨn⁴⁵ tsɿ⁰	sɨn⁴⁵+tsɿ⁰	s ɨ n ⁴⁵ + ts ɿ ⁰	153 19	rope/繩 _-child:SUF/子	i n c t + i n t		繩 子	
705	Meixian		rope	sok¹	sok¹	s o k ¹	154	rope/索	i n c t		索	
706	Guilin		rope	suo⁵⁵ tse²³⁻³³	swo⁵⁵+tse²³	s w o ⁵⁵ + ts e ²³	154 19	rope/索 _-child:SUF/子	i m n t + i n t		索 子	
707	Guangzhou		rope	seŋ²¹	seŋ²¹	s e ŋ ²¹	153	rope/繩	i n c t		繩	
708	Fuzhou		rope	soʔ²⁴*	soʔ²⁴	s o ʔ ²⁴	154	rope/索	i n c t		索	
709	Xiamen		rope	soʔ³²*⁻⁵ a⁵³	soʔ³²+a⁵³	s o ʔ ³² + Ø a ⁵³	154 797	rope/索 _:SUF/仔	i n c t + i n t		索 仔	
710	Beijing		louse	ʂʅ⁵⁵	ʂʅ⁵⁵	ʂ ʅ ⁵⁵	155	louse/虱	i n t		虱	
711	Ha_erbin		louse	ʂʅ⁴⁴ tsɿ⁰	ʂʅ⁴⁴+tsɿ⁰	ʂ ʅ ⁴⁴ + ts ɿ ⁰	155 19	louse/虱 -child:SUF/子	i n t + i n t		虱 子	
712	Jinan		louse	ʂʅ²¹⁴⁻²¹ tsɿ⁰	ʂʅ²¹⁴+tsɿ⁰	ʂ ʅ ²¹⁴ + ts ɿ ⁰	155 19	louse/虱 -child:SUF/子	i n t + i n t		虱 子	
713	Rongcheng		louse	ʂʅ⁵²	ʂʅ⁵²	ʂ ʅ ⁵²	155	louse/虱	i n t		虱	
714	Taiyuan		louse	səʔ²	səʔ²	s ə ʔ ²	155	louse/虱	i n c t		虱	
715	Taiyuan		louse	səʔ² tsəʔ⁰	səʔ²+tsəʔ⁰	s ə ʔ ² + ts ə ʔ ⁰	155 19	louse/虱 -child:SUF/子	i n c t + i n c t		虱 子	
716	Xi_an		louse	sei²¹	sei²¹	s ei ²¹	155	louse/虱	i n t		虱	
717	Chengdu		louse	se²¹⁻⁵⁵ tsɿ⁵³	se²¹+tsɿ⁵³	s e ²¹ + ts ɿ ⁵³	155 19	louse/虱 -child:SUF/子	i n t + i n t		虱 子	
718	Nanjing		louse	seʔ⁵ tsɿ⁰	seʔ⁵+tsɿ⁰	s e ʔ ⁵ + ts ɿ ⁰	155 19	louse/虱 -child:SUF/子	i n c t + i n t		虱 子	
719	Jixi		louse	ɕieʔ³²* tsɿ⁰	ɕjeʔ³²+tsɿ⁰	ɕ j e ʔ ³² + ts ɿ ⁰	155 19	louse/虱 -child:SUF/子	i m n c t + i n t		虱 子	
720	Suzhou		louse	diæ¹³⁻²² səʔ⁴	djæ¹³+səʔ⁴	d j æ ¹³ + s ə ʔ ⁴	156 155	jump/跳 louse/虱	i m n t + i n c t		跳 虱	
721	Wenzhou		louse	sai⁴¹	sai⁴¹	s ai ⁴¹	155	louse/虱	i n t		虱	
722	Changsha		louse	sɿ²⁴	sɿ²⁴	s ɿ ²⁴	155	louse/虱	i n t		虱	
723	Changsha		louse	sɿ²⁴ po¹³ tsɿ⁰	sɿ²⁴+po¹³+tsɿ⁰	s ɿ ²⁴ + p o ¹³ + ts ɿ ⁰	155 28 19	louse/虱 woman/婆 -child:SUF/子	i n t + i n t + i n t		虱 婆 子	
724	Loudi		louse	ɕe¹³ bu¹³⁻³³ sɿ⁰	ɕe¹³+bu¹³+sɿ⁰	ɕ e ¹³ + b u ¹³ + s ɿ ⁰	155 28 19	louse/虱 woman/婆 -child:SUF/子	i n t + i n t + i n t		虱 婆 子	
725	Nanchang		louse	sət⁵	sət⁵	s ə t ⁵	155	louse/虱	i n c t		虱	
726	Meixian		louse	set¹ ma¹¹	set¹+ma¹¹	s e t ¹ + m a ¹¹	155 146	louse/虱 ma/嫲	i n c t + i n t		虱 嫲	
727	Guilin		louse	sɤ⁵⁵	sɤ⁵⁵	s ɤ ⁵⁵	155	louse/虱	i n t		虱	
728	Guangzhou		louse	sɐt⁵	sɐt⁵	s ɐ t ⁵	155	louse/虱	i n c t		虱	
729	Fuzhou		louse	sɛiʔ²⁴*⁻³⁵* mo³²	sɛiʔ²⁴+mo³²	s ɛi ʔ ²⁴ + m o ³²	155 157	louse/虱 mother/母	i n c t + i n t		虱 母	
730	Xiamen		louse	ka⁵⁵⁻²² tsau⁵³	ka⁵⁵+tsau⁵³	k a ⁵⁵ + ts au ⁵³	42 158	family/家 louse/叉+蟲	i n t + i n t		家 叉+蟲	
731	Beijing		wet	ʂʅ⁵⁵	ʂʅ⁵⁵	ʂ ʅ ⁵⁵	161	wet/湿	i n t		湿	
732	Ha_erbin		wet	ʂʅ⁴⁴	ʂʅ⁴⁴	ʂ ʅ ⁴⁴	161	wet/湿	i n t		湿	
733	Jinan		wet	ʂʅ²¹⁴	ʂʅ²¹⁴	ʂ ʅ ²¹⁴	161	wet/湿	i n t		湿	
734	Rongcheng		wet	ʃi²¹⁴	ʃi²¹⁴	ʃ i ²¹⁴	161	wet/湿	i n t		湿	
735	Taiyuan		wet	səʔ²	səʔ²	s ə ʔ ²	161	wet/湿	i n c t		湿	
736	Xi_an		wet	tʂɑu²⁴	ʈʂɑu²⁴	ʈʂ ɑu ²⁴	162	humid/潮	i n t		潮	
737	Chengdu		wet	sɿ²¹	sɿ²¹	s ɿ ²¹	161	wet/湿	i n t		湿	
738	Nanjing		wet	tsʰɔ¹³	tsʰɔ¹³	tsʰ ɔ ¹³	162	humid/潮	i n t		潮	
739	Jixi		wet	tʰi³⁵⁻⁵³ ni⁴⁴	tʰi³⁵+ni⁴⁴	tʰ i ³⁵ + n i ⁴⁴	163 164	permeate/透 flow/流	i n t + i n t		透 流	
740	Suzhou		wet	səʔ⁴	səʔ⁴	s ə ʔ ⁴	161	wet/湿	i n c t		湿	
741	Wenzhou		wet	sai⁴¹	sai⁴¹	s ai ⁴¹	161	wet/湿	i n t		湿	
742	Changsha		wet	sɿ²⁴	sɿ²⁴	s ɿ ²⁴	161	wet/湿	i n t		湿	
743	Loudi		wet	ɕi¹³	ɕi¹³	ɕ i ¹³	161	wet/湿	i n t		湿	
744	Nanchang		wet	sɨt⁵	sɨt⁵	s ɨ t ⁵	161	wet/湿	i n c t		湿	
745	Meixian		wet	səp¹	səp¹	s ə p ¹	161	wet/湿	i n c t		湿	
746	Guilin		wet	ɕi⁵⁵	ɕi⁵⁵	ɕ i ⁵⁵	161	wet/湿	i n t		湿	
747	Guangzhou		wet	sɐp⁵	sɐp⁵	s ɐ p ⁵	161	wet/湿	i n c t		湿	
748	Fuzhou		wet	laŋ²⁴²	laŋ²⁴²	l a ŋ ²⁴²	165	wet/濫	i n c t		濫	
749	Xiamen		wet	sip³²*	sip³²	s i p ³²	161	wet/湿	i n c t		湿	
750	Beijing		what	ʂən³⁵ mə⁰	ʂən³⁵+mə⁰	ʂ ə n ³⁵ + m ə ⁰	166 167	what:QU/什 what:QU/麼	i n c t + i n t		什 麼	
751	Ha_erbin		what	ʂən²⁴ mɤ⁰	ʂən²⁴+mɤ⁰	ʂ ə n ²⁴ + m ɤ ⁰	166 167	what:QU/什 what:QU/麼	i n c t + i n t		什 麼	
752	Ha_erbin		what	ʂa²⁴	ʂa²⁴	ʂ a ²⁴	168	which:QU/啥	i n t		啥	
753	Jinan		what	ʂẽ⁵³⁻⁴⁵ mə⁰	ʂẽ⁵³+mə⁰	ʂ ẽ ⁵³ + m ə ⁰	166 167	what:QU/什 what:QU/麼	i n t + i n t		什 麼	
754	Rongcheng		what	ʂən³⁵ mə⁰	ʂən³⁵+mə⁰	ʂ ə n ³⁵ + m ə ⁰	166 167	what:QU/什 what:QU/麼	i n c t + i n t		什 麼	
755	Taiyuan		what	səŋ⁴⁵ ləʔ²	səŋ⁴⁵+ləʔ²	s ə ŋ ⁴⁵ + l ə ʔ ²	169 170	WHAT _what	i n c t + i n c t		甚 仂	
756	Xi_an		what	sɑ⁴⁴	sɑ⁴⁴	s ɑ ⁴⁴	168	which:QU/啥	i n t		啥	
757	Chengdu		what	sa²¹³ tsɿ⁵³	sa²¹³+tsɿ⁵³	s a ²¹³ + ts ɿ ⁵³	168 19	which:QU/啥 _-child:SUF/子	i n t + i n t		啥 子	
758	Nanjing		what	ʂən¹³ moʔ⁵	ʂən¹³+moʔ⁵	ʂ ə n ¹³ + m o ʔ ⁵	166 167	what:QU/什 what:QU/麼	i n c t + i n c t		什 麼	
759	Jixi		what	ɕieʔ³²* mɤ²¹³	ɕjeʔ³²+mɤ²¹³	ɕ j e ʔ ³² + m ɤ ²¹³	166 167	what:QU/什 what:QU/麼	i m n c t + i n t		什 麼	
760	Suzhou		what	sɑ⁴¹²	sɑ⁴¹²	s ɑ ⁴¹²	168	which:QU/啥	i n t		啥	
761	Wenzhou		what	a⁴¹⁻³ ȵi³⁴¹⁻⁴¹	a⁴¹+ɲi³⁴¹	a ⁴¹ + ɲ i ³⁴¹	171 172	what/何 _what/呢	n t + i n t		何 呢	
762	Changsha		what	sən²⁴ mo⁰	sən²⁴+mo⁰	s ə n ²⁴ + m o ⁰	166 167	what:QU/什 what:QU/麼	i n c t + i n t		什 麼	
763	Changsha		what	mo²⁴ tsɿ⁰	mo²⁴+tsɿ⁰	m o ²⁴ + ts ɿ ⁰	167 19	what:QU/麼 _-child:SUF/子	i n t + i n t		麼 子	
764	Loudi		what	mɤ⁴² tsɿ⁰	mɤ⁴²+tsɿ⁰	m ɤ ⁴² + ts ɿ ⁰	173 19	what _-child:SUF/子	i n t + i n t		麽 子	
765	Nanchang		what	ɕit⁵ li²¹	ɕit⁵+li²¹	ɕ i t ⁵ + l i ²¹	166 174	what:QU/什 _what	i n c t + i n t		什 哩	
766	Meixian		what	mak¹ ke⁵³	mak¹+ke⁵³	m a k ¹ + k e ⁵³	175 56	WHAT -piece:CLS/個	i n c t + i n t		脉 個	
767	Guilin		what	sɤn²² mᴀ²²	sɤn²²+ma̠²²	s ɤ n ²² + m a̠ ²²	166 167	what:QU/什 what:QU/麼	i n c t + i n t		什 麼	
768	Guangzhou		what	mɐt⁵ iɛ²³	mɐt⁵+jɛ²³	m ɐ t ⁵ + j ɛ ²³	176 177	that/乜 _what	i n c t + m n t		乜 嘢	
769	Fuzhou		what	sieʔ²⁴*⁻⁵³* noʔ²⁴*	sjeʔ²⁴+noʔ²⁴	s j e ʔ ²⁴ + n o ʔ ²⁴	166 178	what:QU/什 _what	i m n c t + i n c t		什 乇	
770	Xiamen		what	sim⁵³⁻⁵⁵ miæʔ⁵	sim⁵³+mjæʔ⁵	s i m ⁵³ + m j æ ʔ ⁵	166 179	what:QU/什 thing/物	i n c t + i m n c t		什 物	
771	Beijing		stone	ʂʅ³⁵ tʰou⁰	ʂʅ³⁵+tʰou⁰	ʂ ʅ ³⁵ + tʰ ou ⁰	180 319	stone/石 head:SUF/頭	i n t + i n t		石 頭	
772	Ha_erbin		stone	ʂʅ²⁴ tʰou⁰	ʂʅ²⁴+tʰou⁰	ʂ ʅ ²⁴ + tʰ ou ⁰	180 319	stone/石 head:SUF/頭	i n t + i n t		石 頭	
773	Jinan		stone	ʂi⁵³⁻⁴⁵ tʰou⁰	ʂi⁵³+tʰou⁰	ʂ i ⁵³ + tʰ ou ⁰	180 319	stone/石 head:SUF/頭	i n t + i n t		石 頭	
774	Rongcheng		stone	ʂɿ³⁵ tʰou⁰	ʂɿ³⁵+tʰou⁰	ʂ ɿ ³⁵ + tʰ ou ⁰	180 319	stone/石 head:SUF/頭	i n t + i n t		石 頭	
775	Taiyuan		stone	səʔ⁵⁴ tʰəu²¹	səʔ⁵⁴+tʰəu²¹	s ə ʔ ⁵⁴ + tʰ əu ²¹	180 319	stone/石 head:SUF/頭	i n c t + i n t		石 頭	
776	Xi_an		stone	ʂʅ²⁴ tʰou⁰	ʂʅ²⁴+tʰou⁰	ʂ ʅ ²⁴ + tʰ ou ⁰	180 319	stone/石 head:SUF/頭	i n t + i n t		石 頭	
777	Chengdu		stone	siɿ²¹⁻⁵⁵ tʰəu²¹⁻⁵⁵	sjɿ²¹+tʰəu²¹	s j ɿ ²¹ + tʰ əu ²¹	180 319	stone/石 head:SUF/頭	i m n t + i n t		石 頭	
778	Nanjing		stone	ʂʅʔ⁵ tʰəɯ¹³	ʂʅʔ⁵+tʰəɯ¹³	ʂ ʅ ʔ ⁵ + tʰ əɯ ¹³	180 319	stone/石 head:SUF/頭	i n c t + i n t		石 頭	
779	Jixi		stone	ɕieʔ³²* tʰi⁴⁴	ɕjeʔ³²+tʰi⁴⁴	ɕ j e ʔ ³² + tʰ i ⁴⁴	180 319	stone/石 head:SUF/頭	i m n c t + i n t		石 頭	
780	Suzhou		stone	zɑʔ²³* dʏ¹³⁻³¹	zɑʔ²³+dʏ¹³	z ɑ ʔ ²³ + d ʏ ¹³	180 319	stone/石 head:SUF/頭	i n c t + i n t		石 頭	
781	Wenzhou		stone	zei²¹⁻² dɤu³⁴¹⁻²⁴ tsɿ²⁴²⁻⁵³ ŋ̍⁰	zei²¹+dɤu³⁴¹+tsɿ²⁴²+ŋ̍⁰	z ei ²¹ + d ɤu ³⁴¹ + ts ɿ ²⁴² + Ø/ə ŋ̍/ŋ ⁰	180 319 19 828	stone/石 head:SUF/頭 _-child:SUF/子 _stone	i n t + i n t + i n t + n c t		石 頭 子 ?	
782	Changsha		stone	sɿ²⁴ təu⁰	sɿ²⁴+təu⁰	s ɿ ²⁴ + t əu ⁰	180 319	stone/石 head:SUF/頭	i n t + i n t		石 頭	
783	Loudi		stone	ɕiɔ³⁵ diɤ¹³ kua⁰	ɕjɔ³⁵+djɤ¹³+kwa⁰	ɕ j ɔ ³⁵ + d j ɤ ¹³ + k w a ⁰	180 319 687	stone/石 head:SUF/頭 _piece/塊	i m n t + i m n t + i m n t		石 頭 塊	
784	Nanchang		stone	saʔ² tʰɛu⁰	saʔ²+tʰɛu⁰	s a ʔ ² + tʰ ɛu ⁰	180 319	stone/石 head:SUF/頭	i n c t + i n t		石 頭	
785	Meixian		stone	sak⁵ tʰeu¹¹	sak⁵+tʰeu¹¹	s a k ⁵ + tʰ eu ¹¹	180 319	stone/石 head:SUF/頭	i n c t + i n t		石 頭	
786	Guilin		stone	sei²² tai²²	sei²²+tai²²	s ei ²² + t ai ²²	180 319	stone/石 head:SUF/頭	i n t + i n t		石 頭	
787	Guangzhou		stone	sɛk² tʰɐu²¹	sɛk²+tʰɐu²¹	s ɛ k ² + tʰ ɐu ²¹	180 319	stone/石 head:SUF/頭	i n c t + i n t		石 頭	
788	Fuzhou		stone	suoʔ⁵⁻³³ lau⁵³	swoʔ⁵+lau⁵³	s w o ʔ ⁵ + l au ⁵³	180 319	stone/石 head:SUF/頭	i m n c t + i n t		石 頭	
789	Xiamen		stone	tsioʔ⁵⁻²¹* tʰau²⁴	tsjoʔ⁵+tʰau²⁴	ts j o ʔ ⁵ + tʰ au ²⁴	180 319	stone/石 head:SUF/頭	i m n c t + i n t		石 頭	
790	Beijing		hand	ʂou²¹³	ʂou²¹³	ʂ ou ²¹³	182	hand/手	i n t		手	
791	Ha_erbin		hand	ʂou²¹³	ʂou²¹³	ʂ ou ²¹³	182	hand/手	i n t		手	
792	Jinan		hand	ʂou⁴⁵	ʂou⁴⁵	ʂ ou ⁴⁵	182	hand/手	i n t		手	
793	Rongcheng		hand	ʂou²¹⁴	ʂou²¹⁴	ʂ ou ²¹⁴	182	hand/手	i n t		手	
794	Taiyuan		hand	səu⁵³	səu⁵³	s əu ⁵³	182	hand/手	i n t		手	
795	Xi_an		hand	ʂou⁵³	ʂou⁵³	ʂ ou ⁵³	182	hand/手	i n t		手	
796	Chengdu		hand	səu⁵³	səu⁵³	s əu ⁵³	182	hand/手	i n t		手	
797	Nanjing		hand	səɯ¹¹	səɯ¹¹	s əɯ ¹¹	182	hand/手	i n t		手	
798	Jixi		hand	si²¹³	si²¹³	s i ²¹³	182	hand/手	i n t		手	
799	Suzhou		hand	sʏ⁵²	sʏ⁵²	s ʏ ⁵²	182	hand/手	i n t		手	
800	Wenzhou		hand	ɕieu²⁴	ɕjeu²⁴	ɕ j eu ²⁴	182	hand/手	i m n t		手	
801	Changsha		hand	səu⁴¹	səu⁴¹	s əu ⁴¹	182	hand/手	i n t		手	
802	Changsha		hand	səu⁴¹⁻⁴⁴ pa⁵⁵ tsɿ⁰	səu⁴¹+pa⁵⁵+tsɿ⁰	s əu ⁴¹ + p a ⁵⁵ + ts ɿ ⁰	182 183 19	hand/手 _handle/把 _-child:SUF/子	i n t + i n t + i n t		手 把 子	
803	Loudi		hand	ɕio⁴²	ɕio⁴²	ɕ io ⁴²	182	hand/手	i n t		手	
804	Nanchang		hand	ɕiu²¹³	ɕju²¹³	ɕ j u ²¹³	182	hand/手	i m n t		手	
805	Meixian		hand	su³¹	su³¹	s u ³¹	182	hand/手	i n t		手	
806	Guilin		hand	sou²³	sou²³	s ou ²³	182	hand/手	i n t		手	
807	Guangzhou		hand	sɐu³⁵	sɐu³⁵	s ɐu ³⁵	182	hand/手	i n t		手	
808	Fuzhou		hand	tsʰieu³²	tsʰjeu³²	tsʰ j eu ³²	182	hand/手	i m n t		手	
809	Xiamen		hand	tsʰiu⁵³	tsʰju⁵³	tsʰ j u ⁵³	182	hand/手	i m n t		手	
810	Beijing		tree	ʂu⁵¹	ʂu⁵¹	ʂ u ⁵¹	134	tree/树	i n t		树	
811	Ha_erbin		tree	ʂu⁵³	ʂu⁵³	ʂ u ⁵³	134	tree/树	i n t		树	
812	Jinan		tree	ʂu³¹	ʂu³¹	ʂ u ³¹	134	tree/树	i n t		树	
813	Rongcheng		tree	ʃy³³⁴	ʃy³³⁴	ʃ y ³³⁴	134	tree/树	i n t		树	
814	Taiyuan		tree	su⁴⁵	su⁴⁵	s u ⁴⁵	134	tree/树	i n t		树	
815	Xi_an		tree	fu⁴⁴	fu⁴⁴	f u ⁴⁴	134	tree/树	i n t		树	
816	Chengdu		tree	su²¹³	su²¹³	s u ²¹³	134	tree/树	i n t		树	
817	Nanjing		tree	su⁴⁴	su⁴⁴	s u ⁴⁴	134	tree/树	i n t		树	
818	Jixi		tree	ɕy³¹	ɕy³¹	ɕ y ³¹	134	tree/树	i n t		树	
819	Suzhou		tree	zʯ²³¹	zʯ²³¹	z ʯ ²³¹	134	tree/树	i n t		树	
820	Wenzhou		tree	zɿ²²	zɿ²²	z ɿ ²²	134	tree/树	i n t		树	
821	Changsha		tree	ɕy¹¹	ɕy¹¹	ɕ y ¹¹	134	tree/树	i n t		树	
822	Loudi		tree	ʑy¹¹	ʑy¹¹	ʑ y ¹¹	134	tree/树	i n t		树	
823	Nanchang		tree	su²¹	su²¹	s u ²¹	134	tree/树	i n t		树	
824	Meixian		tree	su⁵⁵ ve⁰	su⁵⁵+ve⁰	s u ⁵⁵ + v e ⁰	134 67	tree/树 _:SUF/?	i n t + i n t		树	
825	Guilin		tree	ɕy²¹	ɕy²¹	ɕ y ²¹	134	tree/树	i n t		树	
826	Guangzhou		tree	sy²²	sy²²	s y ²²	134	tree/树	i n t		树	
827	Fuzhou		tree	tsʰieu²¹²	tsʰjeu²¹²	tsʰ j eu ²¹²	134	tree/树	i m n t		树	
828	Xiamen		tree	tsʰiu²²	tsʰju²²	tsʰ j u ²²	134	tree/树	i m n t		树	
829	Beijing	Mandarin	bark	ʂu⁵¹⁻⁵³ pʰiər³⁵	ʂu⁵¹+pʰjə³⁵	ʂ u ⁵¹ + pʰ j ə ³⁵	134 16	_tree/树 skin/皮	i n t + i m n t		树 皮	
830	Ha_erbin		bark	ʂu⁵³ pʰi²⁴	ʂu⁵³+pʰi²⁴	ʂ u ⁵³ + pʰ i ²⁴	134 16	_tree/树 skin/皮	i n t + i n t		树 皮	
831	Jinan		bark	ʂu³¹ pʰi⁵³	ʂu³¹+pʰi⁵³	ʂ u ³¹ + pʰ i ⁵³	134 16	_tree/树 skin/皮	i n t + i n t		树 皮	
832	Rongcheng		bark	ʃy³³⁴⁻³ pʰi³⁵	ʃy³³⁴+pʰi³⁵	ʃ y ³³⁴ + pʰ i ³⁵	134 16	_tree/树 skin/皮	i n t + i n t		树 皮	
833	Taiyuan		bark	su⁴⁵ pʰi²¹	su⁴⁵+pʰi²¹	s u ⁴⁵ + pʰ i ²¹	134 16	_tree/树 skin/皮	i n t + i n t		树 皮	
834	Xi_an		bark	fu⁴⁴ pʰi²⁴	fu⁴⁴+pʰi²⁴	f u ⁴⁴ + pʰ i ²⁴	134 16	_tree/树 skin/皮	i n t + i n t		树 皮	
835	Chengdu		bark	su²¹³ pʰi²¹	su²¹³+pʰi²¹	s u ²¹³ + pʰ i ²¹	134 16	_tree/树 skin/皮	i n t + i n t		树 皮	
836	Nanjing		bark	su⁴⁴⁻⁴² pʰi¹³	su⁴⁴+pʰi¹³	s u ⁴⁴ + pʰ i ¹³	134 16	_tree/树 skin/皮	i n t + i n t		树 皮	
837	Jixi		bark	ɕy³¹⁻⁵³ pʰɿ⁴⁴	ɕy³¹+pʰɿ⁴⁴	ɕ y ³¹ + pʰ ɿ ⁴⁴	134 16	_tree/树 skin/皮	i n t + i n t		树 皮	
838	Suzhou		bark	zʯ²³¹⁻²² bi¹³⁻³¹	zʯ²³¹+bi¹³	z ʯ ²³¹ + b i ¹³	134 16	_tree/树 skin/皮	i n t + i n t		树 皮	
839	Wenzhou		bark	zɿ²²⁻⁴² bei³⁴¹⁻²¹	zɿ²²+bei³⁴¹	z ɿ ²² + b ei ³⁴¹	134 16	_tree/树 skin/皮	i n t + i n t		树 皮	
840	Changsha		bark	ɕy¹¹ pi¹³	ɕy¹¹+pi¹³	ɕ y ¹¹ + p i ¹³	134 16	_tree/树 skin/皮	i n t + i n t		树 皮	
841	Loudi		bark	ʑy¹¹ bi¹³	ʑy¹¹+bi¹³	ʑ y ¹¹ + b i ¹³	134 16	_tree/树 skin/皮	i n t + i n t		树 皮	
842	Nanchang		bark	su²¹ pʰi²⁴	su²¹+pʰi²⁴	s u ²¹ + pʰ i ²⁴	134 16	_tree/树 skin/皮	i n t + i n t		树 皮	
843	Meixian		bark	su⁵³⁻⁵⁵ pʰi¹¹	su⁵³+pʰi¹¹	s u ⁵³ + pʰ i ¹¹	134 16	_tree/树 skin/皮	i n t + i n t		树 皮	
844	Guilin		bark	ɕy²¹ pi²²	ɕy²¹+pi²²	ɕ y ²¹ + p i ²²	134 16	_tree/树 skin/皮	i n t + i n t		树 皮	
